Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2024-08-02 00:00:00-04:00,94.02463693614442,95.352616429432,93.91801046757679,95.26537322998047,91912900,0.0,0.0,0.0
2024-08-05 00:00:00-04:00,96.63213949731409,96.87447106801024,94.89704456368497,95.76943969726562,90686300,0.0,0.0,0.0
2024-08-06 00:00:00-04:00,95.1393741523026,95.39140105128035,93.6272201538086,93.6272201538086,61316900,0.0,0.0,0.0
2024-08-07 00:00:00-04:00,93.00682225530157,93.49148523192194,92.57062853449129,92.96805572509766,51337100,0.0,0.0,0.0
2024-08-08 00:00:00-04:00,92.2023092911588,92.47371943943915,91.93089174750655,92.39617156982422,37815800,0.0,0.0,0.0
2024-08-09 00:00:00-04:00,93.54965878203858,93.57873738016293,93.14253622218506,93.30732727050781,32141800,0.0,0.0,0.0
2024-08-12 00:00:00-04:00,93.08438788079603,93.85015641752317,92.93898748097187,93.64659881591797,24261400,0.0,0.0,0.0
2024-08-13 00:00:00-04:00,94.3154416906905,94.37359889584621,94.00525760424009,94.29605102539062,30366900,0.0,0.0,0.0
2024-08-14 00:00:00-04:00,94.5577769908977,95.14906658467999,94.51900305413156,94.88734436035156,31334100,0.0,0.0,0.0
2024-08-15 00:00:00-04:00,93.45273676430475,94.12156677246094,93.25886709896331,94.12156677246094,38723700,0.0,0.0,0.0
2024-08-16 00:00:00-04:00,94.4511489868164,94.54808012947873,94.03433841753345,94.4511489868164,28541000,0.0,0.0,0.0
2024-08-19 00:00:00-04:00,94.43175984756466,95.14906658467999,94.42207190990231,94.88734436035156,25322100,0.0,0.0,0.0
2024-08-20 00:00:00-04:00,95.30414705457298,95.82758406456854,95.11028478214722,95.6434097290039,25239300,0.0,0.0,0.0
2024-08-21 00:00:00-04:00,95.64341163372677,96.15715332172061,95.19752248197038,95.70157623291016,29230000,0.0,0.0,0.0
2024-08-22 00:00:00-04:00,95.21691250389614,95.28476503967543,94.44144861324264,94.75163269042969,33453800,0.0,0.0,0.0
2024-08-23 00:00:00-04:00,95.17813937133917,95.64341179335202,94.95519109740299,95.37200164794922,32005100,0.0,0.0,0.0
2024-08-26 00:00:00-04:00,95.66279386590858,95.67248180210866,95.07150436137356,95.1296615600586,23198700,0.0,0.0,0.0
2024-08-27 00:00:00-04:00,94.49960969381114,95.07151600059103,94.42206921786185,94.96488952636719,21507700,0.0,0.0,0.0
2024-08-28 00:00:00-04:00,95.00365224288187,95.18781917130642,94.73224212068048,94.84855651855469,18501400,0.0,0.0,0.0
2024-08-29 00:00:00-04:00,94.38328751997624,94.64500231994691,94.15064392514515,94.53837585449219,24988200,0.0,0.0,0.0
2024-08-30 00:00:00-04:00,94.68378158797609,94.98427033735155,93.51089779725206,93.53028106689453,42896200,0.0,0.0,0.0
2024-09-03 00:00:00-04:00,94.87521621905496,95.36145657674908,94.73906951245573,95.05998992919922,48947900,0.313,0.0,0.0
2024-09-04 00:00:00-04:00,95.18640852461616,96.30476281678915,95.11833517219374,96.28531646728516,40885200,0.0,0.0,0.0
2024-09-05 00:00:00-04:00,96.60623643595964,96.93688375691374,96.06164957725817,96.82991027832031,47450900,0.0,0.0,0.0
2024-09-06 00:00:00-04:00,96.81046333461816,98.00661052329025,96.46036966489964,96.82018280029297,57406400,0.0,0.0,0.0
2024-09-09 00:00:00-04:00,96.66459740714052,97.34533103037333,96.43120408195213,97.23835754394531,26961400,0.0,0.0,0.0
2024-09-10 00:00:00-04:00,97.12164877590764,98.13302957961875,97.07302177383507,97.91908264160156,31703400,0.0,0.0,0.0
2024-09-11 00:00:00-04:00,97.72460058890915,98.45396124170809,97.58845386060858,97.84130096435547,39497100,0.0,0.0,0.0
2024-09-12 00:00:00-04:00,97.59817854114598,97.7829522765669,96.94661815336913,97.38423156738281,41812500,0.0,0.0,0.0
2024-09-13 00:00:00-04:00,97.69541676676471,97.84129036541036,97.26752285592133,97.64679718017578,25722100,0.0,0.0,0.0
2024-09-16 00:00:00-04:00,97.86074000796798,98.58038114030973,97.64680046478928,98.5414810180664,30866300,0.0,0.0,0.0
2024-09-17 00:00:00-04:00,98.67762429470415,98.84294424389273,97.9677100725422,98.06495666503906,31699400,0.0,0.0,0.0
2024-09-18 00:00:00-04:00,97.48147927692564,97.9580002400682,96.80074564306504,96.849365234375,48897000,0.0,0.0,0.0
2024-09-19 00:00:00-04:00,96.19780266933277,96.57706960242031,96.05192905981296,96.52845001220703,39979800,0.0,0.0,0.0
2024-09-20 00:00:00-04:00,96.26586324198126,96.51871030359482,96.00329671528031,96.15888977050781,37067600,0.0,0.0,0.0
2024-09-23 00:00:00-04:00,95.78936143659948,96.36312156306116,95.32256737519751,95.95468139648438,35703900,0.0,0.0,0.0
2024-09-24 00:00:00-04:00,95.30311247583478,96.16861974047855,95.15723888101454,95.93522644042969,31005400,0.0,0.0,0.0
2024-09-25 00:00:00-04:00,95.55596151804457,95.61430798940137,95.09889437391124,95.1377944946289,36738200,0.0,0.0,0.0
2024-09-26 00:00:00-04:00,95.3711999697766,95.54624682562405,94.73908591146964,95.3614730834961,33332300,0.0,0.0,0.0
2024-09-27 00:00:00-04:00,95.82825626831286,96.04220322549781,95.5073358325354,95.85742950439453,28317600,0.0,0.0,0.0
2024-09-30 00:00:00-04:00,95.92550060284437,95.99357395857844,95.186413155275,95.40036010742188,34175500,0.0,0.0,0.0
2024-10-01 00:00:00-04:00,96.39160545313584,96.90868472081425,95.99159624249154,96.08915710449219,45254200,0.316,0.0,0.0
2024-10-02 00:00:00-04:00,94.98669841927568,95.34768177058592,94.694008410817,95.27938842773438,35810800,0.0,0.0,0.0
2024-10-03 00:00:00-04:00,94.96717029321096,95.13303191442706,94.38179779052734,94.38179779052734,39677800,0.0,0.0,0.0
2024-10-04 00:00:00-04:00,93.11349839791995,93.62081928384316,93.07447256924652,93.22081756591797,56954100,0.0,0.0,0.0
2024-10-07 00:00:00-04:00,92.66472422656436,92.94764849417116,92.45008586348332,92.51837921142578,42606600,0.0,0.0,0.0
